id,title,subtitle,poster,url,star_time
2686166817,局部：陌生的经验,陈丹青 / 2020 / 北京日报出版社,https://img9.doubanio.com/view/subject/l/public/s33766848.jpg,https://book.douban.com/subject/35216532/,2021-01-10 22:04:11
2450046737,猎魔人3：精灵之血,[波兰] 安德烈·斯帕克沃斯基 / 2016 / 重庆出版社,https://img9.doubanio.com/view/subject/l/public/s28502600.jpg,https://book.douban.com/subject/26435000/,2020-07-11 21:32:43
2444697886,绝对不在场证明,[日] 大山诚一郎 / 2020 / 上海文艺出版社,https://img9.doubanio.com/view/subject/l/public/s33622734.jpg,https://book.douban.com/subject/34998167/,2020-07-06 22:54:58
2442920753,所罗门的伪证,宫部美雪 / 2014 / 江苏凤凰文艺出版社,https://img9.doubanio.com/view/subject/l/public/s27524396.jpg,https://book.douban.com/subject/25954353/,2020-07-05 13:15:30
2436548654,猎魔人2：宿命之剑,[波兰] 安德烈·斯帕克沃斯基 / 2015 / 重庆出版社,https://img9.doubanio.com/view/subject/l/public/s28075422.jpg,https://book.douban.com/subject/26390937/,2020-06-29 20:40:57
2429698948,四签名,柯南道尔 / 2012 / 上海社会科学院出版社,https://img9.doubanio.com/view/subject/l/public/s24608951.jpg,https://book.douban.com/subject/20393291/,2020-06-24 11:31:01
2429682068,血字的研究,柯南道尔 / 2012 / 上海社会科学院出版社,https://img9.doubanio.com/view/subject/l/public/s25139273.jpg,https://book.douban.com/subject/6308163/,2020-06-24 11:12:29
2420304990,上帝的图书馆,[美] 司各特·霍金斯 / 2016 / 天地出版社,https://img9.doubanio.com/view/subject/l/public/s28828126.jpg,https://book.douban.com/subject/26656291/,2020-06-15 19:45:25
2416683206,身体从未忘记,Bessel van der Kolk M.D. (范德考克) / 2016 / 机械工业出版社,https://img9.doubanio.com/view/subject/l/public/s28731910.jpg,https://book.douban.com/subject/26796536/,2020-06-12 11:42:04
2408161586,城中城,[美]素德·文卡特斯 / 2016 / 上海人民出版社,https://img9.doubanio.com/view/subject/l/public/s28368757.jpg,https://book.douban.com/subject/26606365/,2020-06-04 15:07:41
2401327436,人生删除事务所,[日] 本多孝好 / 2020 / 四川文艺出版社,https://img9.doubanio.com/view/subject/l/public/s33594233.jpg,https://book.douban.com/subject/34799802/,2020-05-29 11:43:42
2395223647,诡秘之主,爱潜水的乌贼 / 江苏凤凰文艺出版社,https://img9.doubanio.com/view/subject/l/public/s33619186.jpg,https://book.douban.com/subject/33424453/,2020-05-24 02:25:06
2387715048,女巫一定得死,(美)谢尔登·卡什丹 / 2014 / 机械工业出版社,https://img9.doubanio.com/view/subject/l/public/s27331581.jpg,https://book.douban.com/subject/25917623/,2020-05-17 18:06:55
