id,title,subtitle,poster,pubdate,url,rating,genres,star,star_time
2368411188,但是还有书籍,2019 / 中国大陆 / 纪录片 / 罗颖鸾 杨骊珠 王悦阳 郑苏杭 刘倩瑜 彭欣宇 林宸西 / 朱岳 俞国林,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2577256090.jpg,2019-12-11(中国大陆),https://movie.douban.com/subject/33418361/,9,纪录片,4.5,2020-05-02 16:53:25
1639043690,小森林 夏秋篇,2014 / 日本 / 剧情 / 森淳一 / 桥本爱 三浦贵大,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2564498893.jpg,2014-08-30(日本),https://movie.douban.com/subject/25814705/,9,剧情,4.5,2020-05-01 23:28:45
2347149844,异度侵入,2020 / 日本 / 科幻 动画 / 青木荣 碇谷敦 下平佑一 又贺大介 栗山贵行 久保田雄大 青柳隆平 / 津田健次郎 细谷佳正,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2584476257.jpg,2020-01-06(日本),https://movie.douban.com/subject/34456027/,9,"科幻,动画",4.5,2020-04-17 23:14:35
2346950997,哈利·波特与死亡圣器(下),2011 / 美国 英国 / 奇幻 冒险 / 大卫·叶茨 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p917846733.jpg,2011-08-04(中国大陆),https://movie.douban.com/subject/3011235/,8.9,"奇幻,冒险",4.5,2020-02-17 21:21:20
2346947952,哈利·波特与死亡圣器(上),2010 / 英国 美国 / 奇幻 冒险 / 大卫·叶茨 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p721429854.jpg,2010-11-19(中国大陆),https://movie.douban.com/subject/2051007/,8.5,"奇幻,冒险",4.5,2020-02-17 21:19:27
2346947126,哈利·波特与混血王子,2009 / 英国 美国 / 奇幻 冒险 / 大卫·叶茨 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1108070214.jpg,2009-07-15(中国大陆),https://movie.douban.com/subject/1433330/,8.2,"奇幻,冒险",4,2020-01-17 21:18:53
2346946639,哈利·波特与凤凰社,2007 / 英国 美国 / 奇幻 冒险 / 大卫·叶茨 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p443403700.jpg,2007-08-10(中国大陆),https://movie.douban.com/subject/1457217/,8.4,"奇幻,冒险",4,2020-01-17 21:18:33
2346945724,哈利·波特与火焰杯,2005 / 英国 美国 / 悬疑 奇幻 冒险 / 迈克·内威尔 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p735391084.jpg,2005-11-18(中国大陆),https://movie.douban.com/subject/1309055/,8.7,"悬疑,奇幻,冒险",4.5,2020-01-17 21:18:03
2346945052,哈利·波特与阿兹卡班的囚徒,2004 / 英国 美国 / 奇幻 冒险 / 阿方索·卡隆 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1910812549.jpg,2004-09-10(中国大陆),https://movie.douban.com/subject/1291544/,8.9,"奇幻,冒险",4.5,2020-01-17 21:17:36
2121341160,哈利·波特与密室,2002 / 英国 美国 / 奇幻 冒险 / 克里斯·哥伦布 / 丹尼尔·雷德克里夫 艾玛·沃森,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1082651990.jpg,2003-01-24(中国大陆),https://movie.douban.com/subject/1296996/,8.8,"奇幻,冒险",4.5,2020-01-05 15:25:46
